model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,best_params,inner_split_strategy,time_seconds,model_order,fingerprint_order,protocol_order
Logistic Regression,LR,RDKit desc,Random shuffle,lr_kdr_hi_random_shuffle_rdkit_desc,3,0.956535428376396,0.9739441614275195,0.9701,0.5972,0.3593354283763961,0.3729,"{'model__C': 0.05, 'model__class_weight': None, 'model__l1_ratio': 0.5}",random_shuffle,6.7,1,2,1
Linear SVM,SVM,ECFP4,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,1,0.8853267302021868,0.9682157584550661,0.9916,0.9393,-0.05397326979781325,0.05230000000000001,"{'C': 0.05, 'class_weight': 'balanced'}",holdout,27.0,2,0,0
Linear SVM,SVM,ECFP4,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,2,0.816600601380899,0.9682157584550661,0.5914,0.9548,-0.13819939861910102,-0.36339999999999995,"{'C': 0.05, 'class_weight': 'balanced'}",holdout,22.7,2,0,0
Linear SVM,SVM,ECFP4,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,3,0.9025698804843686,0.975097649672557,0.9709,0.938,-0.03543011951563135,0.03290000000000004,"{'C': 0.05, 'class_weight': 'balanced'}",holdout,36.9,2,0,0
Linear SVM,SVM,ECFP4,Random shuffle,svm_linear_kdr_hi_random_shuffle_ecfp4,1,0.9935644418254153,0.9928496691608353,0.9942,0.6479,0.3456644418254152,0.34629999999999994,"{'C': 0.01, 'class_weight': None}",random_shuffle,2.0,2,0,1
Linear SVM,SVM,ECFP4,Random shuffle,svm_linear_kdr_hi_random_shuffle_ecfp4,2,0.39735428955582996,0.8565070690368202,0.8252,0.7522,-0.35484571044417,0.07300000000000006,"{'C': 0.01, 'class_weight': None}",random_shuffle,1.7,2,0,1
Linear SVM,SVM,ECFP4,Random shuffle,svm_linear_kdr_hi_random_shuffle_ecfp4,3,0.9681770078325985,0.984762728938652,0.9822,0.6829,0.2852770078325986,0.2993,"{'C': 0.001, 'class_weight': 'balanced'}",random_shuffle,1.8,2,0,1
Linear SVM,SVM,MACCS,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_maccs,1,0.8364241686558698,0.8740843193481004,0.9394,0.8285,0.007924168655869757,0.1109,"{'C': 0.05, 'class_weight': 'balanced'}",holdout,24.7,2,1,0
Linear SVM,SVM,MACCS,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_maccs,2,0.7330041733938625,0.8876426659910767,0.291,0.8734,-0.14039582660613747,-0.5824,"{'C': 50.0, 'class_weight': 'balanced'}",holdout,61.8,2,1,0
Linear SVM,SVM,MACCS,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_maccs,3,0.7852551748214677,0.8979683927412545,0.9144,0.7998,-0.014544825178532284,0.11460000000000004,"{'C': 0.1, 'class_weight': None}",holdout,41.3,2,1,0
Linear SVM,SVM,MACCS,Random shuffle,svm_linear_kdr_hi_random_shuffle_maccs,1,0.9721792352898421,0.9957052876697516,0.992,0.5052,0.4669792352898421,0.4868,"{'C': 2.0, 'class_weight': None}",random_shuffle,1.3,2,1,1
Linear SVM,SVM,MACCS,Random shuffle,svm_linear_kdr_hi_random_shuffle_maccs,2,0.34789895933783876,0.4749263663256489,0.4815,0.7503,-0.4024010406621612,-0.2688,"{'C': 2.0, 'class_weight': 'balanced'}",random_shuffle,0.5,2,1,1
Linear SVM,SVM,MACCS,Random shuffle,svm_linear_kdr_hi_random_shuffle_maccs,3,0.9776299878775764,0.9726076754893727,0.9715,0.4966,0.4810299878775764,0.47490000000000004,"{'C': 0.005, 'class_weight': 'balanced'}",random_shuffle,0.2,2,1,1
