model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,mean_importance,max_importance,cumulative_top_10,cumulative_top_20,cumulative_top_50,min_depth_mean,min_depth_std,min_depth_min,min_depth_max
Logistic Regression,lr,rdkit_desc,OOD holdout,1,217,205,0.004608294930875531,0.0268804877194088,0.2037153362169727,0.3474425009168466,0.6160412841797365,,,,
Logistic Regression,lr,rdkit_desc,OOD holdout,2,217,205,0.00460829493087553,0.0287778010773344,0.20467058750838948,0.3348395925396697,0.607284164156951,,,,
Logistic Regression,lr,rdkit_desc,OOD holdout,3,217,205,0.004608294930875529,0.0276175328860277,0.19412658828605,0.33539805135152867,0.5846295401382372,,,,
Logistic Regression,lr,rdkit_desc,Random shuffle,1,217,91,0.004608294930875555,0.0534520081417536,0.36906633199097194,0.5815555057670919,0.8998883947056276,,,,
Logistic Regression,lr,rdkit_desc,Random shuffle,2,217,181,0.004608294930875534,0.0207032816730004,0.1680939129775311,0.2965965723877606,0.5912475316909689,,,,
Logistic Regression,lr,rdkit_desc,Random shuffle,3,217,22,0.004608294930875571,0.1877854406252356,0.8037461573064707,0.9939222848256286,0.9999999999999989,,,,
SVM linear,svm,ecfp4,OOD holdout,1,1024,1024,0.0009765624999999538,0.0039958623059236,0.0359870179159353,0.0667954214681352,0.1467546868768432,,,,
SVM linear,svm,ecfp4,OOD holdout,2,1024,1024,0.0009765624999999529,0.0042016022985747,0.03606236111648129,0.0666213377427269,0.1460285943546713,,,,
SVM linear,svm,ecfp4,OOD holdout,3,1024,1024,0.0009765624999999525,0.0039145960387756,0.036302404885473594,0.0675068564497155,0.1475309755285443,,,,
SVM linear,svm,ecfp4,Random shuffle,1,1024,725,0.0009765624999999682,0.0082049197408034,0.0643892808866057,0.11528012394843488,0.236895687175772,,,,
SVM linear,svm,ecfp4,Random shuffle,2,1024,576,0.0009765624999999732,0.0101459094777626,0.09267899926282559,0.1601619669091804,0.29637244847829247,,,,
SVM linear,svm,ecfp4,Random shuffle,3,1024,842,0.0009765624999999667,0.0109381863839319,0.096863069361098,0.17128335031472966,0.3446630686826727,,,,
SVM linear,svm,maccs,OOD holdout,1,167,149,0.005988023952095765,0.0232857450617497,0.19486711492991812,0.350521550685495,0.65298128577793,,,,
SVM linear,svm,maccs,OOD holdout,2,167,147,0.005988023952095767,0.0499561176895399,0.289644570005356,0.456485532063501,0.7438768135979107,,,,
SVM linear,svm,maccs,OOD holdout,3,167,150,0.005988023952095766,0.0304326734263707,0.2208316535356879,0.3624660023089858,0.6767182387956142,,,,
SVM linear,svm,maccs,Random shuffle,1,167,135,0.0059880239520957715,0.0355113008939881,0.2464185379820624,0.4273352181989817,0.7647203859898468,,,,
SVM linear,svm,maccs,Random shuffle,2,167,130,0.005988023952095776,0.0575553556293825,0.3185778942237775,0.4880735252153924,0.8086763534092527,,,,
SVM linear,svm,maccs,Random shuffle,3,167,137,0.005988023952095776,0.0308601819173136,0.2457910705215913,0.44937732113851664,0.7672830872446592,,,,
