model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total
Logistic Regression,LR,MACCS,Random shuffle,lr_kdr_hi_random_shuffle_maccs,2,0.35781287063754597,0.4782971182053545,0.4869,0.7416,0.12908712936245403,-0.38378712936245407,-0.25470000000000004,LogisticRegression,lr_kdr_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,54.0,0.6766467065868264,46.58972247123806,9.15963313825235,0.10917467816738337,[0.8034386430058982],1.0,elasticnet,1.0,False,,
Logistic Regression,LR,MACCS,Random shuffle,lr_kdr_hi_random_shuffle_maccs,3,0.9764966125760112,0.9744129212256665,0.9741,0.5457,-0.0023966125760112034,0.4307966125760112,0.4284,LogisticRegression,lr_kdr_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,140.0,0.16167664670658688,5.630318690297679,0.6754285139899303,1.4805415810664289,[-1.5342683468815435],0.01,elasticnet,0.0,False,,
Logistic Regression,LR,RDKit desc,OOD holdout,lr_kdr_hi_inner_ood_holdout_rdkit_desc,1,0.8535561471870436,0.9132568747658036,0.9671,0.8776,0.11354385281295631,-0.0240438528129564,0.08949999999999991,LogisticRegression,lr_kdr_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,205.0,0.055299539170506895,66.7246834616085,6.751140097786365,0.1481231296515222,[0.29611538807054966],1.0,elasticnet,0.0,False,,
Logistic Regression,LR,RDKit desc,OOD holdout,lr_kdr_hi_inner_ood_holdout_rdkit_desc,2,0.7658984245951737,0.9159083381330989,0.2898,0.907,-0.47609842459517365,-0.14110157540482637,-0.6172,LogisticRegression,lr_kdr_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,205.0,0.055299539170506895,75.55351628326935,7.635538677465588,0.13096652931000843,[0.12276939392216776],5.0,elasticnet,0.0,False,,
Logistic Regression,LR,RDKit desc,OOD holdout,lr_kdr_hi_inner_ood_holdout_rdkit_desc,3,0.8025038279291461,0.926403730417863,0.9439,0.8481,0.14139617207085386,-0.04559617207085387,0.0958,LogisticRegression,lr_kdr_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,205.0,0.055299539170506895,54.2713899435813,5.316086726714038,0.18810829307484167,[0.9194072455044757],0.5,elasticnet,0.0,False,,
Logistic Regression,LR,RDKit desc,Random shuffle,lr_kdr_hi_random_shuffle_rdkit_desc,1,0.9916841602291873,0.9960103153895361,0.9963,0.6294,0.004615839770812702,0.3622841602291873,0.3669,LogisticRegression,lr_kdr_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,91.0,0.5806451612903225,24.605191551395635,3.7279119483335026,0.26824667906843463,[1.7527955010564202],0.5,elasticnet,0.5,False,,
Logistic Regression,LR,RDKit desc,Random shuffle,lr_kdr_hi_random_shuffle_rdkit_desc,2,0.45163145387511816,0.8905505579164049,0.8744,0.7469,0.4227685461248818,-0.29526854612488185,0.12749999999999995,LogisticRegression,lr_kdr_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,181.0,0.16589861751152069,34.20302309039088,3.3056994950128997,0.30250783578744433,[-4.609156397423473],0.5,elasticnet,0.0,False,,
Logistic Regression,LR,RDKit desc,Random shuffle,lr_kdr_hi_random_shuffle_rdkit_desc,3,0.956535428376396,0.9739441614275195,0.9701,0.5972,0.013564571623603916,0.3593354283763961,0.3729,LogisticRegression,lr_kdr_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,22.0,0.8986175115207373,1.9375279860394536,0.5654545950580314,1.7684885908432173,[2.20606167946721],0.05,elasticnet,0.5,False,,
SVM linear,SVM,ECFP4,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,1,0.8853267302021868,0.9682157584550661,0.9916,0.9393,0.10627326979781326,-0.05397326979781325,0.05230000000000001,SVC,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,138.0027895502857,5.420885869152514,0.18447169413591386,[-1.420529560223555],0.05,,,,"[885, 1434]",2319.0
SVM linear,SVM,ECFP4,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,2,0.816600601380899,0.9682157584550661,0.5914,0.9548,-0.22520060138089892,-0.13819939861910102,-0.36339999999999995,SVC,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,136.17967934014558,5.370060278072217,0.18621764900541996,[-1.4627521326954318],0.05,,,,"[1034, 1263]",2297.0
SVM linear,SVM,ECFP4,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,3,0.9025698804843686,0.975097649672557,0.9709,0.938,0.0683301195156314,-0.03543011951563135,0.03290000000000004,SVC,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,145.5258189394077,5.748497447009733,0.17395850119411332,[-1.7823183403971148],0.05,,,,"[960, 1698]",2658.0
SVM linear,SVM,ECFP4,Random shuffle,svm_linear_kdr_hi_random_shuffle_ecfp4,1,0.9935644418254153,0.9928496691608353,0.9942,0.6479,0.0006355581745847161,0.3456644418254152,0.34629999999999994,SVC,svm_linear_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,725.0,0.2919921875,15.58977318237071,0.7819262350677675,1.2788930146503303,[0.1241896351449043],0.01,,,,"[84, 100]",184.0
SVM linear,SVM,ECFP4,Random shuffle,svm_linear_kdr_hi_random_shuffle_ecfp4,2,0.39735428955582996,0.8565070690368202,0.8252,0.7522,0.4278457104441701,-0.35484571044417,0.07300000000000006,SVC,svm_linear_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,576.0,0.4375,3.9424755452106313,0.2293901201620105,4.359385658343672,[-0.8757438913430715],0.01,,,,"[104, 54]",158.0
SVM linear,SVM,ECFP4,Random shuffle,svm_linear_kdr_hi_random_shuffle_ecfp4,3,0.9681770078325985,0.984762728938652,0.9822,0.6829,0.014022992167401438,0.2852770078325986,0.2993,SVC,svm_linear_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,842.0,0.177734375,5.877186256233564,0.3631549963190337,2.753645165662252,[-0.4014343494399063],0.001,,,,"[61, 411]",472.0
SVM linear,SVM,MACCS,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_maccs,1,0.8364241686558698,0.8740843193481004,0.9394,0.8285,0.10297583134413024,0.007924168655869757,0.1109,SVC,svm_linear_kdr_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,149.0,0.10778443113772451,31.739493443734222,3.351561495294045,0.2983683878109079,[-3.439835077213836],0.05,,,,"[1175, 2055]",3230.0
SVM linear,SVM,MACCS,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_maccs,2,0.7330041733938625,0.8876426659910767,0.291,0.8734,-0.4420041733938625,-0.14039582660613747,-0.5824,SVC,svm_linear_kdr_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,147.0,0.11976047904191611,84.69228206545318,10.872554843874086,0.09197470275934538,[-3.455438845814306],50.0,,,,"[1300, 1658]",2958.0
SVM linear,SVM,MACCS,OOD holdout,svm_linear_kdr_hi_inner_ood_holdout_maccs,3,0.7852551748214677,0.8979683927412545,0.9144,0.7998,0.12914482517853232,-0.014544825178532284,0.11460000000000004,SVC,svm_linear_kdr_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,150.0,0.10179640718562877,35.90605342909672,3.9377030338190173,0.2539551589877363,[-3.0033914602453913],0.1,,,,"[1678, 1730]",3408.0
SVM linear,SVM,MACCS,Random shuffle,svm_linear_kdr_hi_random_shuffle_maccs,1,0.9721792352898421,0.9957052876697516,0.992,0.5052,0.019820764710157923,0.4669792352898421,0.4868,SVC,svm_linear_kdr_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,135.0,0.19161676646706582,64.10868450264556,7.749767158684341,0.1290361348314067,[-0.7441789974559276],2.0,,,,"[53, 73]",126.0
SVM linear,SVM,MACCS,Random shuffle,svm_linear_kdr_hi_random_shuffle_maccs,2,0.34789895933783876,0.4749263663256489,0.4815,0.7503,0.13360104066216122,-0.4024010406621612,-0.2688,SVC,svm_linear_kdr_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,130.0,0.22155688622754488,75.23969942076477,10.356734436991466,0.09655553167688352,[-0.6019039147840366],2.0,,,,"[196, 39]",235.0
SVM linear,SVM,MACCS,Random shuffle,svm_linear_kdr_hi_random_shuffle_maccs,3,0.9776299878775764,0.9726076754893727,0.9715,0.4966,-0.006129987877576348,0.4810299878775764,0.47490000000000004,SVC,svm_linear_kdr_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,137.0,0.17964071856287422,5.938462870105944,0.7257834250640303,1.3778214898084475,[-1.552591791314187],0.005,,,,"[54, 370]",424.0
