mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
7.686998128890991,0.2668166160583496,0.052878379821777344,0.00015926361083984375,0.8,5.0,300,5,5,0.03,1.0,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.3993556062062281,0.43479551093492336,0.41707555857057577,0.01771995236434762,17,0.8944621554129712,0.8746348713769382,0.8845485133949547,0.009913642018016533
4.913514494895935,0.1409844160079956,0.06393373012542725,0.016133666038513184,1.0,1.0,300,1,3,0.03,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.36795128968914903,0.39690274760274263,0.38242701864594586,0.014475728956796802,33,0.7414974874109269,0.6695692094326549,0.7055333484217909,0.03596413898913603
5.582137703895569,0.17886435985565186,0.07162296772003174,0.010952591896057129,0.8,5.0,200,5,5,0.1,1.0,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.39435718537011333,0.45099733839926565,0.42267726188468946,0.02832007651457616,10,0.9936003518468408,0.9889233497243042,0.9912618507855725,0.0023385010612683166
6.8380045890808105,0.07721781730651855,0.06963670253753662,0.019730210304260254,1.0,5.0,200,1,5,0.03,0.8,"{'subsample': 1.0, 'reg_lambda': 5.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.39139235265533817,0.4311181544606636,0.41125525355800086,0.01986290090266271,23,0.9036838748266017,0.8447199092920603,0.8742018920593311,0.02948198276727071
2.501505494117737,0.2395240068435669,0.04278910160064697,0.0034564733505249023,1.0,1.0,100,5,4,0.05,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.3563374952982197,0.390169661346036,0.3732535783221278,0.01691608302390815,35,0.7085315304422147,0.629761738715375,0.6691466345787949,0.039384895863419866
6.798896074295044,0.10193586349487305,0.06608045101165771,0.01101529598236084,1.0,5.0,300,5,4,0.05,1.0,"{'subsample': 1.0, 'reg_lambda': 5.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.3898407530081024,0.4125348168234224,0.4011877849157624,0.01134703190766001,26,0.915637965861125,0.8618475548086919,0.8887427603349085,0.026895205526216548
2.060067296028137,0.5039404630661011,0.04876244068145752,0.0010546445846557617,1.0,1.0,100,5,3,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.34191798371784715,0.3882320604624693,0.3650750220901582,0.023157038372311062,38,0.7057601576698818,0.6224324690448826,0.6640963133573822,0.04166384431249959
5.197675585746765,0.11099278926849365,0.06465423107147217,0.0028051137924194336,1.0,5.0,200,1,4,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 5.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.4048147905345814,0.43182871445597415,0.4183217524952778,0.013506961960696368,14,0.9891715126759241,0.9796811024325092,0.9844263075542166,0.004745205121707452
7.107236742973328,0.12957274913787842,0.04684746265411377,0.00030052661895751953,0.8,5.0,300,1,4,0.03,1.0,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.4021954391768085,0.4266090192559592,0.4144022292163838,0.012206790039575338,20,0.8777528956235613,0.8469597431146001,0.8623563193690806,0.015396576254480598
5.894994854927063,0.28570711612701416,0.06383287906646729,0.007040143013000488,0.8,5.0,200,1,4,0.05,1.0,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.40059817091198013,0.43581843815828203,0.4182083045351311,0.017610133623150948,15,0.9021878040578278,0.8670316754003445,0.8846097397290862,0.01757806432874165
7.238375425338745,0.06420016288757324,0.045937538146972656,0.0052182674407958984,0.8,5.0,200,1,5,0.05,0.8,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.41500672664796784,0.4538369751728693,0.43442185091041857,0.019415124262450734,3,0.9766416805181659,0.9665027208204823,0.9715722006693241,0.005069479848841818
2.3492350578308105,0.07267618179321289,0.05367887020111084,0.00607454776763916,1.0,5.0,100,5,4,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 5.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.3886196897866368,0.40668860835748705,0.3976541490720619,0.009034459285425123,28,0.8266082964460267,0.7724213343961593,0.799514815421093,0.027093481024933697
3.4646681547164917,0.17757976055145264,0.057813405990600586,0.0021719932556152344,0.8,1.0,200,5,3,0.05,1.0,"{'subsample': 0.8, 'reg_lambda': 1.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.3621201769380983,0.39892912207052345,0.38052464950431086,0.018404472566212582,34,0.7226914014502144,0.6665423796596495,0.6946168905549319,0.028074510895282456
