dataset,model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,n_positive_importance,total_importance_raw,total_importance_positive,cumulative_top_10,fraction_top_10,cumulative_top_20,fraction_top_20,cumulative_top_50,fraction_top_50,cumulative_top_100,fraction_top_100,cumulative_top_150,fraction_top_150,cumulative_top_200,fraction_top_200,model_order,fingerprint_order,protocol_order,dataset_order
hiv,Linear SVM,SVM,ECFP4,Random shuffle,2,1024,1024,1024,0.9999999999999539,0.9999999999999539,0.0380578011461258,0.038058,0.0685502911549723,0.06855,0.1482459958009347,0.148246,0.2593766496676499,0.259377,0.35341066019229933,0.353411,0.4359538448041701,0.435954,2,0,1,1
hiv,Linear SVM,SVM,ECFP4,Random shuffle,3,1024,1024,1024,0.9999999999999525,0.9999999999999525,0.0362696041417189,0.03627,0.06526514415645329,0.065265,0.1439269435932192,0.143927,0.257162120391435,0.257162,0.3534711820659418,0.353471,0.4383610716514743,0.438361,2,0,1,1
hiv,Linear SVM,SVM,MACCS,OOD holdout,1,167,164,164,0.999999999999992,0.999999999999992,0.2210312443669562,0.221031,0.37141336659064667,0.371413,0.650103955840267,0.650104,0.8987216466390496,0.898722,0.9967096379812586,0.99671,0.999999999999992,1.0,2,1,0,1
hiv,Linear SVM,SVM,MACCS,OOD holdout,2,167,163,163,0.9999999999999921,0.9999999999999921,0.5196967158018782,0.519697,0.6745190883631202,0.674519,0.8532128532255632,0.853213,0.9621629694659858,0.962163,0.9984612249139635,0.998461,0.9999999999999921,1.0,2,1,0,1
hiv,Linear SVM,SVM,MACCS,OOD holdout,3,167,163,163,0.9999999999999918,0.9999999999999918,0.20006170944269877,0.200062,0.32965388321298705,0.329654,0.6058512951443,0.605851,0.8791009806539835,0.879101,0.9923755712286666,0.992376,0.9999999999999918,1.0,2,1,0,1
hiv,Linear SVM,SVM,MACCS,Random shuffle,1,167,164,164,0.9999999999999918,0.9999999999999918,0.2349275220261523,0.234928,0.3942344097793113,0.394234,0.6710425193448978,0.671043,0.9058188495881886,0.905819,0.995709857105888,0.99571,0.9999999999999918,1.0,2,1,1,1
hiv,Linear SVM,SVM,MACCS,Random shuffle,2,167,163,163,0.9999999999999922,0.9999999999999922,0.5375126556543303,0.537513,0.6994440009041222,0.699444,0.8727225642578519,0.872723,0.969202441273902,0.969202,0.9989418576868494,0.998942,0.9999999999999922,1.0,2,1,1,1
hiv,Linear SVM,SVM,MACCS,Random shuffle,3,167,163,163,0.9999999999999921,0.9999999999999921,0.5472958388226316,0.547296,0.6922676991365724,0.692268,0.8541552881112405,0.854155,0.9574160530098479,0.957416,0.9971163627334128,0.997116,0.9999999999999921,1.0,2,1,1,1
kdr,Decision Tree,DT,ECFP4,OOD holdout,1,1024,309,303,0.8091099829676023,0.8094497187459342,0.3436389484789667,0.424534,0.45226438591523155,0.558731,0.6159507285087628,0.76095,0.7219323373810946,0.89188,0.7724400271930184,0.954278,0.7973063504977309,0.984998,0,0,0,2
kdr,Decision Tree,DT,ECFP4,OOD holdout,2,1024,140,137,0.5471247100674312,0.5472589190988127,0.2737618990537594,0.500242,0.36044158582616365,0.658631,0.4742053873075461,0.86651,0.5397726212214585,0.98632,0.5472589190988126,1.0,0.5472589190988127,1.0,0,0,0,2
kdr,Decision Tree,DT,ECFP4,OOD holdout,3,1024,208,202,1.3638196814011598,1.3642322038930754,0.754437901940338,0.553013,0.9689750587258065,0.710271,1.1741551519185716,0.860671,1.294392214967963,0.948806,1.348651467424021,0.988579,1.364197537522862,0.999975,0,0,0,2
kdr,Decision Tree,DT,ECFP4,Random shuffle,1,1024,24,10,0.051863512615726005,0.08420347701821751,0.0842034770182175,1.0,0.08420347701821751,1.0,0.08420347701821751,1.0,0.08420347701821751,1.0,0.08420347701821751,1.0,0.08420347701821751,1.0,0,0,1,2
