dataset,dataset_label,model,model_short,fingerprint,inner_ood,inner_random,delta_inner_optimism,test_ood,test_random,delta_test_benefit,gap_ood,gap_random,delta_gap,train_gap_ood,train_gap_random,model_order,fingerprint_order,dataset_order
kdr,KDR,Logistic Regression,LR,ECFP4,0.8676427568614616,0.7559419765905334,-0.11170078027092822,0.9563,0.6469,0.3094,-0.08865724313853829,0.10904197659053345,0.19769921972907173,-0.08649999999999998,0.3052,1,0,2
kdr,KDR,Logistic Regression,LR,MACCS,0.7872918971419732,0.7204386671230362,-0.06685323001893706,0.8431000000000001,0.6046,0.23850000000000005,-0.05580810285802673,0.11583866712303618,0.17164676998106293,-0.14693333333333333,0.1602666666666667,1,1,2
kdr,KDR,Logistic Regression,LR,RDKit desc,0.8073194665704545,0.7521243348694228,-0.05519513170103174,0.8775666666666666,0.6389333333333334,0.23863333333333325,-0.07024720009621221,0.11319100153608935,0.18343820163230157,-0.1439666666666667,0.2769333333333333,1,2,2
kdr,KDR,Linear SVM,SVM,ECFP4,0.8681657373558181,0.7422082530287448,-0.12595748432707332,0.9440333333333334,0.6005,0.34353333333333336,-0.0758675959775152,0.14170825302874482,0.21757584900626004,-0.09273333333333329,0.26626666666666665,2,0,2
kdr,KDR,Linear SVM,SVM,MACCS,0.7848945056237332,0.7180280470193744,-0.0668664586043588,0.8339,0.5977333333333333,0.23616666666666664,-0.04900549437626667,0.12029471368604099,0.16930020806230767,-0.11896666666666667,0.1587333333333333,2,1,2
sol,Sol,Decision Tree,DT,ECFP4,0.3803910816969205,0.38297416974603643,0.0025830880491159447,0.3037666666666667,0.30346666666666666,0.00030000000000002247,0.07662441503025384,0.07950750307936975,0.0028830880491159117,0.3751333333333333,0.41473333333333334,0,0,3
sol,Sol,Decision Tree,DT,MACCS,0.38949512879636344,0.4434047981212328,0.05390966932486935,0.33263333333333334,0.3158,0.01683333333333331,0.05686179546303013,0.12760479812123274,0.0707430026582026,0.16316666666666668,0.309,0,1,3
sol,Sol,Logistic Regression,LR,ECFP4,0.5024492645145852,0.5813572884259328,0.07890802391134766,0.4777666666666667,0.4915333333333333,-0.01376666666666665,0.02468259784791847,0.0898239550925995,0.06514135724468102,0.35259999999999997,0.37989999999999996,1,0,3
sol,Sol,Logistic Regression,LR,MACCS,0.4868473931349176,0.5368225365867966,0.04997514345187898,0.4767666666666667,0.47866666666666663,-0.0018999999999999018,0.010080726468250941,0.05815586992012994,0.048075143451879,0.18503333333333336,0.1694,1,1,3
sol,Sol,Logistic Regression,LR,RDKit desc,0.5822027747659496,0.6196709384039546,0.03746816363800498,0.5907666666666667,0.5876333333333333,0.0031333333333333213,-0.008563891900717121,0.03203760507062133,0.040601496971338455,0.14493333333333333,0.15053333333333338,1,2,3
sol,Sol,Linear SVM,SVM,ECFP4,0.4794280382044879,0.5719940108472122,0.09256597264272431,0.49676666666666663,0.5004333333333334,-0.0036666666666667624,-0.017338628462178762,0.071560677513879,0.08889930597605776,0.26143333333333335,0.27640000000000003,2,0,3
sol,Sol,Linear SVM,SVM,MACCS,0.4813716148923675,0.5135364972721698,0.03216488237980225,0.4755666666666667,0.4753,0.0002666666666666928,0.005804948225700842,0.03823649727216969,0.03243154904646885,0.15376666666666666,0.14123333333333335,2,1,3
