dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,model_order,fingerprint_order,protocol_order,dataset_order
drd2,DRD2,Logistic Regression,LR,RDKit desc,OOD holdout,1,0.8525260265847203,0.9245,0.7247,0.1278260265847203,0.19979999999999998,LogisticRegression,lr_drd2_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,199.0,0.08294930875576034,19.864759028652266,1.8905814464564978,0.528937804755406,[1.197183097132641],0.05,deprecated,0.0,False,,,1,2,0,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,OOD holdout,2,0.7175514037445511,0.903,0.8793,-0.1617485962554489,0.023700000000000054,LogisticRegression,lr_drd2_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,190.0,0.12442396313364057,80.54539884381768,8.69802271218538,0.11496865817550271,[0.8555050440887364],5.0,deprecated,1.0,False,,,1,2,0,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,OOD holdout,3,0.7226917580242034,0.8885,0.7608,-0.03810824197579665,0.12769999999999992,LogisticRegression,lr_drd2_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,60.0,0.7235023041474654,3.8799614758670478,0.6466804143210534,1.5463588781328643,[0.19419096962110208],0.01,deprecated,0.25,False,,,1,2,0,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,Random shuffle,1,0.9095327158434262,0.9422,0.7333,0.17623271584342626,0.20890000000000009,LogisticRegression,lr_drd2_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,199.0,0.08294930875576034,52.19746316221105,4.820087290192842,0.20746512247498985,[0.47656024832430144],0.5,deprecated,0.0,False,,,1,2,1,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,Random shuffle,2,0.8385972454853255,0.9085,0.8731,-0.03450275451467444,0.03539999999999999,LogisticRegression,lr_drd2_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,198.0,0.0875576036866359,96.33787241476787,9.911807588165063,0.10088977122538417,[0.34787691616431465],10.0,deprecated,0.5,False,,,1,2,1,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,Random shuffle,3,0.864446689923095,0.9333,0.7559,0.10854668992309502,0.1774,LogisticRegression,lr_drd2_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,151.0,0.30414746543778803,46.55265982905608,5.440355152512145,0.18381152920471355,[0.4185323911297227],1.0,deprecated,1.0,False,,,1,2,1,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,1,0.8531224223523477,0.9971,0.6434,0.20972242235234773,0.3537,SVC,svm_linear_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,990.0,0.033203125,1588.2364520803758,63.729514355667824,0.01569131681153419,[-13.125102413007202],100.0,,,,"[299, 399]",698.0,2,0,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,2,0.6737590704174629,0.9209,0.8613,-0.1875409295825371,0.0596000000000001,SVC,svm_linear_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1017.0,0.0068359375,51.95132391234711,2.16198024391214,0.4625389167250127,[-0.8659482281129162],0.01,,,,"[650, 1089]",1739.0,2,0,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,3,0.6861631597317237,0.9114,0.755,-0.0688368402682763,0.15639999999999998,SVC,svm_linear_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,992.0,0.03125,7.292195827833586,0.3346426454087864,2.9882622962726075,[0.6420021911575302],0.001,,,,"[740, 788]",1528.0,2,0,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,1,0.9329517171760465,0.9838,0.6547,0.2782517171760466,0.32910000000000006,SVC,svm_linear_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1005.0,0.0185546875,153.5582899911677,6.140978210338188,0.16284050614550694,[-1.8994311599443827],0.1,,,,"[382, 774]",1156.0,2,0,1,0
