dataset,model,fingerprint,fold,top_k,n_overlap,overlap_percent
drd2,Logistic Regression,ECFP4,2,150,103,68.67
drd2,Logistic Regression,ECFP4,2,200,150,75.0
drd2,Logistic Regression,ECFP4,3,10,5,50.0
drd2,Logistic Regression,ECFP4,3,20,10,50.0
drd2,Logistic Regression,ECFP4,3,50,21,42.0
drd2,Logistic Regression,ECFP4,3,100,33,33.0
drd2,Logistic Regression,ECFP4,3,150,41,27.33
drd2,Logistic Regression,ECFP4,3,200,53,26.5
drd2,Logistic Regression,MACCS,1,10,8,80.0
drd2,Logistic Regression,MACCS,1,20,17,85.0
drd2,Logistic Regression,MACCS,1,50,42,84.0
drd2,Logistic Regression,MACCS,1,100,91,91.0
drd2,Logistic Regression,MACCS,1,150,145,96.67
drd2,Logistic Regression,MACCS,1,200,167,83.5
drd2,Logistic Regression,MACCS,2,10,9,90.0
drd2,Logistic Regression,MACCS,2,20,19,95.0
drd2,Logistic Regression,MACCS,2,50,44,88.0
drd2,Logistic Regression,MACCS,2,100,96,96.0
drd2,Logistic Regression,MACCS,2,150,145,96.67
drd2,Logistic Regression,MACCS,2,200,167,83.5
drd2,Logistic Regression,MACCS,3,10,10,100.0
drd2,Logistic Regression,MACCS,3,20,18,90.0
drd2,Logistic Regression,MACCS,3,50,44,88.0
drd2,Logistic Regression,MACCS,3,100,91,91.0
drd2,Logistic Regression,MACCS,3,150,145,96.67
drd2,Logistic Regression,MACCS,3,200,167,83.5
drd2,Logistic Regression,RDKit desc,1,10,6,60.0
drd2,Logistic Regression,RDKit desc,1,20,10,50.0
drd2,Logistic Regression,RDKit desc,1,50,30,60.0
drd2,Logistic Regression,RDKit desc,1,100,72,72.0
drd2,Logistic Regression,RDKit desc,1,150,127,84.67
drd2,Logistic Regression,RDKit desc,1,200,199,99.5
drd2,Logistic Regression,RDKit desc,2,10,9,90.0
drd2,Logistic Regression,RDKit desc,2,20,19,95.0
drd2,Logistic Regression,RDKit desc,2,50,46,92.0
drd2,Logistic Regression,RDKit desc,2,100,94,94.0
drd2,Logistic Regression,RDKit desc,2,150,141,94.0
drd2,Logistic Regression,RDKit desc,2,200,196,98.0
drd2,Logistic Regression,RDKit desc,3,10,2,20.0
drd2,Logistic Regression,RDKit desc,3,20,6,30.0
drd2,Logistic Regression,RDKit desc,3,50,20,40.0
drd2,Logistic Regression,RDKit desc,3,100,51,51.0
drd2,Logistic Regression,RDKit desc,3,150,107,71.33
drd2,Logistic Regression,RDKit desc,3,200,184,92.0
hiv,Decision Tree,ECFP4,1,10,0,0.0
hiv,Decision Tree,ECFP4,1,20,0,0.0
hiv,Decision Tree,ECFP4,1,50,15,30.0
hiv,Decision Tree,ECFP4,1,100,67,67.0
hiv,Decision Tree,ECFP4,1,150,119,79.33
hiv,Decision Tree,ECFP4,1,200,169,84.5
hiv,Decision Tree,ECFP4,2,10,1,10.0
hiv,Decision Tree,ECFP4,2,20,1,5.0
hiv,Decision Tree,ECFP4,2,50,6,12.0
hiv,Decision Tree,ECFP4,2,100,39,39.0
hiv,Decision Tree,ECFP4,2,150,90,60.0
hiv,Decision Tree,ECFP4,2,200,144,72.0
hiv,Decision Tree,ECFP4,3,10,2,20.0
hiv,Decision Tree,ECFP4,3,20,5,25.0
hiv,Decision Tree,ECFP4,3,50,13,26.0
hiv,Decision Tree,ECFP4,3,100,31,31.0
hiv,Decision Tree,ECFP4,3,150,83,55.33
hiv,Decision Tree,ECFP4,3,200,132,66.0
hiv,Decision Tree,MACCS,1,10,0,0.0
hiv,Decision Tree,MACCS,1,20,2,10.0
hiv,Decision Tree,MACCS,1,50,18,36.0
hiv,Decision Tree,MACCS,1,100,64,64.0
hiv,Decision Tree,MACCS,1,150,133,88.67
hiv,Decision Tree,MACCS,1,200,167,83.5
hiv,Decision Tree,MACCS,2,10,2,20.0
hiv,Decision Tree,MACCS,2,20,2,10.0
hiv,Decision Tree,MACCS,2,50,15,30.0
hiv,Decision Tree,MACCS,2,100,60,60.0
hiv,Decision Tree,MACCS,2,150,135,90.0
hiv,Decision Tree,MACCS,2,200,167,83.5
hiv,Decision Tree,MACCS,3,10,0,0.0
hiv,Decision Tree,MACCS,3,20,2,10.0
hiv,Decision Tree,MACCS,3,50,13,26.0
hiv,Decision Tree,MACCS,3,100,63,63.0
hiv,Decision Tree,MACCS,3,150,137,91.33
hiv,Decision Tree,MACCS,3,200,167,83.5
hiv,Linear SVM,ECFP4,1,10,3,30.0
hiv,Linear SVM,ECFP4,1,20,9,45.0
hiv,Linear SVM,ECFP4,1,50,19,38.0
hiv,Linear SVM,ECFP4,1,100,56,56.0
hiv,Linear SVM,ECFP4,1,150,91,60.67
hiv,Linear SVM,ECFP4,1,200,127,63.5
hiv,Linear SVM,ECFP4,2,10,2,20.0
hiv,Linear SVM,ECFP4,2,20,10,50.0
hiv,Linear SVM,ECFP4,2,50,26,52.0
hiv,Linear SVM,ECFP4,2,100,58,58.0
hiv,Linear SVM,ECFP4,2,150,102,68.0
hiv,Linear SVM,ECFP4,2,200,141,70.5
hiv,Linear SVM,ECFP4,3,10,1,10.0
hiv,Linear SVM,ECFP4,3,20,4,20.0
hiv,Linear SVM,ECFP4,3,50,21,42.0
hiv,Linear SVM,ECFP4,3,100,42,42.0
hiv,Linear SVM,ECFP4,3,150,64,42.67
hiv,Linear SVM,ECFP4,3,200,93,46.5
hiv,Linear SVM,MACCS,1,10,7,70.0
hiv,Linear SVM,MACCS,1,20,16,80.0
hiv,Linear SVM,MACCS,1,50,43,86.0
hiv,Linear SVM,MACCS,1,100,91,91.0
hiv,Linear SVM,MACCS,1,150,145,96.67
hiv,Linear SVM,MACCS,1,200,167,83.5
hiv,Linear SVM,MACCS,2,10,10,100.0
hiv,Linear SVM,MACCS,2,20,17,85.0
hiv,Linear SVM,MACCS,2,50,40,80.0
hiv,Linear SVM,MACCS,2,100,80,80.0
hiv,Linear SVM,MACCS,2,150,138,92.0
hiv,Linear SVM,MACCS,2,200,167,83.5
hiv,Linear SVM,MACCS,3,10,1,10.0
hiv,Linear SVM,MACCS,3,20,3,15.0
hiv,Linear SVM,MACCS,3,50,16,32.0
hiv,Linear SVM,MACCS,3,100,63,63.0
hiv,Linear SVM,MACCS,3,150,137,91.33
hiv,Linear SVM,MACCS,3,200,167,83.5
hiv,Logistic Regression,ECFP4,1,10,8,80.0
hiv,Logistic Regression,ECFP4,1,20,12,60.0
hiv,Logistic Regression,ECFP4,1,50,24,48.0
