feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,model,model_short,fingerprint,protocol,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,importance,raw_importance,abs_importance,rank,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight,top_k
99,maccs_bit_99,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0143430077976485,2.111479379827203,2.111479379827203,21,2.111479379827203,2.111479379827203,0.0143430077976485,positive,21.0,50
85,maccs_bit_85,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0133357349457134,1.9631955688772256,1.9631955688772256,22,1.9631955688772256,1.9631955688772256,0.0133357349457134,positive,22.0,50
122,maccs_bit_122,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0126194463912597,-1.857748473395387,1.857748473395387,23,-1.857748473395387,1.857748473395387,0.0126194463912597,negative,23.0,50
161,maccs_bit_161,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0118023190978173,-1.7374565893541345,1.7374565893541345,24,-1.7374565893541345,1.7374565893541345,0.0118023190978173,negative,24.0,50
137,maccs_bit_137,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.010764090614483,1.5846157023493177,1.5846157023493177,25,1.5846157023493177,1.5846157023493177,0.010764090614483,positive,25.0,50
134,maccs_bit_134,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0104472950645784,1.5379792310678733,1.5379792310678733,26,1.5379792310678733,1.5379792310678733,0.0104472950645784,positive,26.0,50
124,maccs_bit_124,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0100850458778585,1.4846513866638762,1.4846513866638762,27,1.4846513866638762,1.4846513866638762,0.0100850458778585,positive,27.0,50
58,maccs_bit_58,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0099420472092232,1.4636001019942977,1.4636001019942977,28,1.4636001019942977,1.4636001019942977,0.0099420472092232,positive,28.0,50
55,maccs_bit_55,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0099420472092232,1.4636001019942977,1.4636001019942977,29,1.4636001019942977,1.4636001019942977,0.0099420472092232,positive,29.0,50
60,maccs_bit_60,,,,,,Logistic Regression,lr,maccs,Random shuffle,3,0.8739156997164945,0.9155692994434104,0.9126,0.7904,0.0099420472092232,1.4636001019942977,1.4636001019942977,30,1.4636001019942977,1.4636001019942977,0.0099420472092232,positive,30.0,50
