model,fingerprint,protocol,fold_a,fold_b,fold_pair,top_k,n_overlap,overlap,overlap_percent
Decision Tree,maccs,Random shuffle,1,2,1 vs 2,10,1,0.1,10.0
Decision Tree,maccs,Random shuffle,1,2,1 vs 2,20,4,0.2,20.0
Decision Tree,maccs,Random shuffle,1,2,1 vs 2,50,19,0.38,38.0
Decision Tree,maccs,Random shuffle,1,3,1 vs 3,10,1,0.1,10.0
Decision Tree,maccs,Random shuffle,1,3,1 vs 3,20,2,0.1,10.0
Decision Tree,maccs,Random shuffle,1,3,1 vs 3,50,16,0.32,32.0
Decision Tree,maccs,Random shuffle,2,3,2 vs 3,10,3,0.3,30.0
Decision Tree,maccs,Random shuffle,2,3,2 vs 3,20,5,0.25,25.0
Decision Tree,maccs,Random shuffle,2,3,2 vs 3,50,22,0.44,44.0
Logistic Regression,ecfp4,OOD holdout,1,2,1 vs 2,10,3,0.3,30.0
Logistic Regression,ecfp4,OOD holdout,1,2,1 vs 2,20,3,0.15,15.0
Logistic Regression,ecfp4,OOD holdout,1,2,1 vs 2,50,6,0.12,12.0
Logistic Regression,ecfp4,OOD holdout,1,3,1 vs 3,10,4,0.4,40.0
Logistic Regression,ecfp4,OOD holdout,1,3,1 vs 3,20,5,0.25,25.0
Logistic Regression,ecfp4,OOD holdout,1,3,1 vs 3,50,15,0.3,30.0
Logistic Regression,ecfp4,OOD holdout,2,3,2 vs 3,10,2,0.2,20.0
Logistic Regression,ecfp4,OOD holdout,2,3,2 vs 3,20,5,0.25,25.0
Logistic Regression,ecfp4,OOD holdout,2,3,2 vs 3,50,12,0.24,24.0
Logistic Regression,ecfp4,Random shuffle,1,2,1 vs 2,10,3,0.3,30.0
Logistic Regression,ecfp4,Random shuffle,1,2,1 vs 2,20,5,0.25,25.0
Logistic Regression,ecfp4,Random shuffle,1,2,1 vs 2,50,9,0.18,18.0
Logistic Regression,ecfp4,Random shuffle,1,3,1 vs 3,10,4,0.4,40.0
Logistic Regression,ecfp4,Random shuffle,1,3,1 vs 3,20,7,0.35,35.0
Logistic Regression,ecfp4,Random shuffle,1,3,1 vs 3,50,23,0.46,46.0
Logistic Regression,ecfp4,Random shuffle,2,3,2 vs 3,10,4,0.4,40.0
Logistic Regression,ecfp4,Random shuffle,2,3,2 vs 3,20,7,0.35,35.0
Logistic Regression,ecfp4,Random shuffle,2,3,2 vs 3,50,12,0.24,24.0
Logistic Regression,maccs,OOD holdout,1,2,1 vs 2,10,1,0.1,10.0
Logistic Regression,maccs,OOD holdout,1,2,1 vs 2,20,3,0.15,15.0
Logistic Regression,maccs,OOD holdout,1,2,1 vs 2,50,15,0.3,30.0
Logistic Regression,maccs,OOD holdout,1,3,1 vs 3,10,0,0.0,0.0
Logistic Regression,maccs,OOD holdout,1,3,1 vs 3,20,5,0.25,25.0
Logistic Regression,maccs,OOD holdout,1,3,1 vs 3,50,22,0.44,44.0
Logistic Regression,maccs,OOD holdout,2,3,2 vs 3,10,2,0.2,20.0
Logistic Regression,maccs,OOD holdout,2,3,2 vs 3,20,6,0.3,30.0
Logistic Regression,maccs,OOD holdout,2,3,2 vs 3,50,22,0.44,44.0
Logistic Regression,maccs,Random shuffle,1,2,1 vs 2,10,2,0.2,20.0
