model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total
Logistic Regression,LR,RDKit desc,Random shuffle,lr_hiv_hi_random_shuffle_rdkit_desc,3,0.40967811777495083,0.5031582736991623,0.4932,0.0388,0.0835218822250492,0.37087811777495083,0.4544,LogisticRegression,lr_hiv_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,215.0,0.009216589861751112,29.622119857625982,2.6142674748592847,0.38251632995350865,[-3.9505437215749097],0.1,elasticnet,0.0,False,,
SVM linear,SVM,ECFP4,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,1,0.07785530119312378,0.7633040657588372,0.6248,0.0616,0.5469446988068762,0.01625530119312378,0.5632,SVC,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,91.08498579374053,3.6123292231517223,0.27682969580704764,[-1.8044063555593781],0.1,,,,"[1029, 560]",1589.0
SVM linear,SVM,ECFP4,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,2,0.11107565279641697,0.8631812852167844,0.6437,0.0675,0.5326243472035831,0.04357565279641697,0.5762,SVC,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,181.33977772858793,7.155548703753665,0.1397516866142521,[-2.2095716490850363],0.5,,,,"[1006, 455]",1461.0
SVM linear,SVM,ECFP4,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,3,0.10570953239873399,0.628333195555892,0.5429,0.0306,0.43719046760126606,0.07510953239873398,0.5123000000000001,SVC,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,111.79892953552255,4.48276140410118,0.22307678456522848,[-1.4706630253726396],0.01,,,,"[6602, 401]",7003.0
SVM linear,SVM,ECFP4,Random shuffle,svm_linear_hiv_hi_random_shuffle_ecfp4,1,0.3970473001992274,0.48976382321590983,0.4684,0.1223,0.07135269980077258,0.2747473001992274,0.34609999999999996,SVC,svm_linear_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,128.5837885873094,5.114752760744157,0.19551287164357634,[-1.3026271062844175],0.01,,,,"[7291, 372]",7663.0
SVM linear,SVM,ECFP4,Random shuffle,svm_linear_hiv_hi_random_shuffle_ecfp4,2,0.3951264886017406,0.6028648794519236,0.5747,0.0721,0.1795735113982594,0.3230264886017406,0.5025999999999999,SVC,svm_linear_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,74.0139879434791,2.9187295635272092,0.342614818617017,[-1.5761311491611383],0.1,,,,"[969, 473]",1442.0
SVM linear,SVM,ECFP4,Random shuffle,svm_linear_hiv_hi_random_shuffle_ecfp4,3,0.5077920694216477,0.6843212282085356,0.6764,0.0241,0.16860793057835233,0.48369206942164766,0.6523,SVC,svm_linear_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,105.25622683911251,4.144292348228225,0.24129571853865997,[-2.042560548770554],0.1,,,,"[1086, 687]",1773.0
SVM linear,SVM,MACCS,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_maccs,1,0.09991338377498926,0.067483548172589,0.2011,0.1456,0.10118661622501074,-0.045686616225010745,0.055499999999999994,SVC,svm_linear_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,164.0,0.017964071856287456,48.297938520157906,5.167921735271822,0.19350138241739492,[-1.7817210701653232],0.1,,,,"[8432, 365]",8797.0
SVM linear,SVM,MACCS,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_maccs,2,0.2141180102747668,0.10557298961990623,0.2635,0.121,0.04938198972523322,0.0931180102747668,0.14250000000000002,SVC,svm_linear_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,0.042402610950004214,0.007763978383100738,128.79994645227555,[-1.0003731662260793],0.1,,,,"[1331, 504]",1835.0
SVM linear,SVM,MACCS,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_maccs,3,0.17483343771947224,0.28344930601724233,0.2733,0.0437,0.09846656228052775,0.13113343771947222,0.22959999999999997,SVC,svm_linear_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,26.543517904599945,2.681084966282606,0.3729833304710689,[-1.684044766997041],0.01,,,,"[8390, 459]",8849.0
SVM linear,SVM,MACCS,Random shuffle,svm_linear_hiv_hi_random_shuffle_maccs,1,0.21599033026318276,0.24816729530953086,0.2286,0.1738,0.012609669736817236,0.04219033026318275,0.05479999999999999,SVC,svm_linear_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,164.0,0.017964071856287456,0.02986433879316361,0.004461450791051884,224.14233549446553,[-1.000282070282454],0.01,,,,"[1112, 599]",1711.0
SVM linear,SVM,MACCS,Random shuffle,svm_linear_hiv_hi_random_shuffle_maccs,2,0.2955998780472955,0.268369836447199,0.2666,0.1073,-0.02899987804729548,0.18829987804729548,0.1593,SVC,svm_linear_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,0.03491601333180139,0.006696821139529407,149.32457940339603,[-1.0002246049312993],5.0,,,,"[3710, 504]",4214.0
SVM linear,SVM,MACCS,Random shuffle,svm_linear_hiv_hi_random_shuffle_maccs,3,0.3330885539687254,0.2994841099986234,0.2885,0.0372,-0.04458855396872541,0.2958885539687254,0.25129999999999997,SVC,svm_linear_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,0.03451956990152483,0.0066109818441289605,151.2634618544708,[-1.0003457202031307],0.5,,,,"[2186, 775]",2961.0
