model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,best_params,inner_split_strategy,time_seconds,model_order,fingerprint_order,protocol_order
Logistic Regression,LR,RDKit desc,Random shuffle,lr_sol_hi_random_shuffle_rdkit_desc,1,0.6256787418808591,0.8001123722485857,0.7816,0.6119,0.013778741880859147,0.16969999999999996,"{'model__C': 0.5, 'model__class_weight': None, 'model__l1_ratio': 0.5}",random_shuffle,23.5,1,2,1
Logistic Regression,LR,RDKit desc,Random shuffle,lr_sol_hi_random_shuffle_rdkit_desc,2,0.686947358977245,0.8017729885831307,0.7901,0.5923,0.09464735897724497,0.19779999999999998,"{'model__C': 0.5, 'model__class_weight': None, 'model__l1_ratio': 0.0}",random_shuffle,25.9,1,2,1
Logistic Regression,LR,RDKit desc,Random shuffle,lr_sol_hi_random_shuffle_rdkit_desc,3,0.6172666197743841,0.6839893476779418,0.6815,0.5584,0.05886661977438412,0.12309999999999999,"{'model__C': 0.005, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",random_shuffle,23.4,1,2,1
Linear SVM,SVM,ECFP4,OOD holdout,svm_linear_sol_hi_inner_ood_holdout_ecfp4,1,0.4645090190036799,0.8592118940350321,0.7773,0.5082,-0.04369098099632007,0.2691,"{'C': 0.01, 'class_weight': 'balanced'}",holdout,4.0,2,0,0
Linear SVM,SVM,ECFP4,OOD holdout,svm_linear_sol_hi_inner_ood_holdout_ecfp4,2,0.45287699109268786,0.7745578695219281,0.7178,0.5282,-0.07532300890731214,0.1896,"{'C': 0.005, 'class_weight': 'balanced'}",holdout,3.7,2,0,0
Linear SVM,SVM,ECFP4,OOD holdout,svm_linear_sol_hi_inner_ood_holdout_ecfp4,3,0.520898104517096,0.846542961998466,0.7795,0.4539,0.06699810451709592,0.32559999999999995,"{'C': 0.01, 'class_weight': 'balanced'}",holdout,3.6,2,0,0
Linear SVM,SVM,ECFP4,Random shuffle,svm_linear_sol_hi_random_shuffle_ecfp4,1,0.5601480193486588,0.9657732041542659,0.941,0.3956,0.16454801934865876,0.5453999999999999,"{'C': 0.1, 'class_weight': None}",random_shuffle,5.0,2,0,1
Linear SVM,SVM,ECFP4,Random shuffle,svm_linear_sol_hi_random_shuffle_ecfp4,2,0.6559103565376132,0.7864046226759375,0.7737,0.5394,0.11651035653761321,0.23430000000000006,"{'C': 0.01, 'class_weight': 'balanced'}",random_shuffle,5.2,2,0,1
Linear SVM,SVM,ECFP4,Random shuffle,svm_linear_sol_hi_random_shuffle_ecfp4,3,0.5496675022761512,0.7940439698953999,0.7794,0.4538,0.09586750227615126,0.3256,"{'C': 0.01, 'class_weight': 'balanced'}",random_shuffle,5.2,2,0,1
Linear SVM,SVM,MACCS,OOD holdout,svm_linear_sol_hi_inner_ood_holdout_maccs,1,0.4870328363826815,0.6681746191307687,0.6293,0.4933,-0.006267163617318494,0.13599999999999995,"{'C': 0.01, 'class_weight': None}",holdout,6.0,2,1,0
Linear SVM,SVM,MACCS,OOD holdout,svm_linear_sol_hi_inner_ood_holdout_maccs,2,0.49565225669976704,0.5898188449820483,0.6017,0.4753,0.020352256699767035,0.1264,"{'C': 0.5, 'class_weight': 'balanced'}",holdout,5.0,2,1,0
Linear SVM,SVM,MACCS,OOD holdout,svm_linear_sol_hi_inner_ood_holdout_maccs,3,0.461429751594654,0.6941688817874161,0.657,0.4581,0.0033297515946539846,0.19890000000000002,"{'C': 0.05, 'class_weight': None}",holdout,6.6,2,1,0
Linear SVM,SVM,MACCS,Random shuffle,svm_linear_sol_hi_random_shuffle_maccs,1,0.4990094885528602,0.5149863882020369,0.5119,0.4409,0.05810948855286019,0.07100000000000001,"{'C': 0.005, 'class_weight': 'balanced'}",random_shuffle,11.1,2,1,1
Linear SVM,SVM,MACCS,Random shuffle,svm_linear_sol_hi_random_shuffle_maccs,2,0.546428221848086,0.51554272730883,0.5167,0.4646,0.08182822184808602,0.052100000000000035,"{'C': 0.01, 'class_weight': 'balanced'}",random_shuffle,14.1,2,1,1
Linear SVM,SVM,MACCS,Random shuffle,svm_linear_sol_hi_random_shuffle_maccs,3,0.5760271079582211,0.7004876403940051,0.6919,0.4484,0.12762710795822108,0.24349999999999994,"{'C': 0.25, 'class_weight': None}",random_shuffle,8.3,2,1,1
