feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,model,model_short,fingerprint,protocol,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,importance,raw_importance,abs_importance,rank,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight,top_k
153,maccs_bit_153,0.1877596587543327,1.0,True,0.1877596587543327,2.0,Decision Tree,dt,maccs,OOD holdout,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.1877596587543327,0.1877596587543327,0.1877596587543327,2,,,,,,10
113,maccs_bit_113,0.0731367497889351,3.0,True,0.0731367497889351,3.0,Decision Tree,dt,maccs,OOD holdout,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.0731367497889351,0.0731367497889351,0.0731367497889351,3,,,,,,10
59,maccs_bit_59,0.0625114476424732,2.0,True,0.0625114476424732,4.0,Decision Tree,dt,maccs,OOD holdout,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.0625114476424732,0.0625114476424732,0.0625114476424732,4,,,,,,10
92,maccs_bit_92,0.0379937724753209,3.0,True,0.0379937724753209,5.0,Decision Tree,dt,maccs,OOD holdout,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.0379937724753209,0.0379937724753209,0.0379937724753209,5,,,,,,10
129,maccs_bit_129,0.0373598069187262,4.0,True,0.0373598069187262,6.0,Decision Tree,dt,maccs,OOD holdout,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.0373598069187262,0.0373598069187262,0.0373598069187262,6,,,,,,10
151,maccs_bit_151,0.0364614496831814,4.0,True,0.0364614496831814,7.0,Decision Tree,dt,maccs,OOD holdout,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.0364614496831814,0.0364614496831814,0.0364614496831814,7,,,,,,10
104,maccs_bit_104,0.0318333168297296,4.0,True,0.0318333168297296,8.0,Decision Tree,dt,maccs,OOD holdout,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.0318333168297296,0.0318333168297296,0.0318333168297296,8,,,,,,10
120,maccs_bit_120,0.0286977949977891,3.0,True,0.0286977949977891,9.0,Decision Tree,dt,maccs,OOD holdout,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.0286977949977891,0.0286977949977891,0.0286977949977891,9,,,,,,10
22,maccs_bit_22,0.0268593610750843,4.0,True,0.0268593610750843,10.0,Decision Tree,dt,maccs,OOD holdout,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.0268593610750843,0.0268593610750843,0.0268593610750843,10,,,,,,10
135,maccs_bit_135,0.1210293784866563,0.0,True,0.1210293784866563,1.0,Decision Tree,dt,maccs,OOD holdout,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.1210293784866563,0.1210293784866563,0.1210293784866563,1,,,,,,10
100,maccs_bit_100,0.0923451675159039,1.0,True,0.0923451675159039,2.0,Decision Tree,dt,maccs,OOD holdout,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.0923451675159039,0.0923451675159039,0.0923451675159039,2,,,,,,10
103,maccs_bit_103,0.0656897588466877,3.0,True,0.0656897588466877,3.0,Decision Tree,dt,maccs,OOD holdout,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.0656897588466877,0.0656897588466877,0.0656897588466877,3,,,,,,10
88,maccs_bit_88,0.0530506005521343,1.0,True,0.0530506005521343,4.0,Decision Tree,dt,maccs,OOD holdout,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.0530506005521343,0.0530506005521343,0.0530506005521343,4,,,,,,10
154,maccs_bit_154,0.0425429402230844,2.0,True,0.0425429402230844,5.0,Decision Tree,dt,maccs,OOD holdout,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.0425429402230844,0.0425429402230844,0.0425429402230844,5,,,,,,10
113,maccs_bit_113,0.0345853693930889,4.0,True,0.0345853693930889,6.0,Decision Tree,dt,maccs,OOD holdout,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.0345853693930889,0.0345853693930889,0.0345853693930889,6,,,,,,10
104,maccs_bit_104,0.0338308999555853,2.0,True,0.0338308999555853,7.0,Decision Tree,dt,maccs,OOD holdout,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.0338308999555853,0.0338308999555853,0.0338308999555853,7,,,,,,10
81,maccs_bit_81,0.0315959175635415,2.0,True,0.0315959175635415,8.0,Decision Tree,dt,maccs,OOD holdout,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.0315959175635415,0.0315959175635415,0.0315959175635415,8,,,,,,10
101,maccs_bit_101,0.0304726654669059,7.0,True,0.0304726654669059,9.0,Decision Tree,dt,maccs,OOD holdout,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.0304726654669059,0.0304726654669059,0.0304726654669059,9,,,,,,10
