dataset,model,fingerprint,fold,top_k,n_ood_features,n_random_features,effective_k,n_overlap,n_union,overlap_percent,jaccard_percent,expected_overlap_count_random,random_expected_percent,dataset_order,model_order,fingerprint_order,protocol_order
sol,Linear SVM,ECFP4,2,50,50,50,50,37,63,74.0,58.73,1.2207,2.44,2,2,0,99
sol,Linear SVM,ECFP4,2,100,100,100,100,81,119,81.0,68.07,4.8828,4.88,2,2,0,99
sol,Linear SVM,ECFP4,2,150,150,150,150,123,177,82.0,69.49,10.9863,7.32,2,2,0,99
sol,Linear SVM,ECFP4,2,200,200,200,200,166,234,83.0,70.94,19.5312,9.77,2,2,0,99
sol,Linear SVM,ECFP4,3,10,10,10,10,10,10,100.0,100.0,0.0488,0.49,2,2,0,99
sol,Linear SVM,ECFP4,3,20,20,20,20,20,20,100.0,100.0,0.1953,0.98,2,2,0,99
sol,Linear SVM,ECFP4,3,50,50,50,50,50,50,100.0,100.0,1.2207,2.44,2,2,0,99
sol,Linear SVM,ECFP4,3,100,100,100,100,100,100,100.0,100.0,4.8828,4.88,2,2,0,99
sol,Linear SVM,ECFP4,3,150,150,150,150,150,150,100.0,100.0,10.9863,7.32,2,2,0,99
sol,Linear SVM,ECFP4,3,200,200,200,200,200,200,100.0,100.0,19.5312,9.77,2,2,0,99
