dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,dataset_order,model_order,fingerprint_order,protocol_order
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,3,0.42101535485885444,0.5905,0.029,0.3920153548588544,0.5615,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,15.0,163.0,82.0,76.0,0.07421875,gini,15.0,,5.0,20.0,0.0001,,6.197368421052632,3.0865571726529546,0.0,14.0,,,,,,,,,,,,,,,1,0,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,1,0.12290930685841914,0.5386,0.1,0.02290930685841913,0.4386,LogisticRegression,lr_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,335.0,0.6728515625,73.90998885196255,5.581120923638685,0.179175476339265,[-4.782291333300782],0.25,elasticnet,0.9,False,,,1,1,0,0
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,2,0.14242817590054008,0.3299,0.0918,0.05062817590054007,0.23810000000000003,LogisticRegression,lr_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1008.0,0.015625,334.23456355693554,15.593481632212681,0.06412936017664082,[-1.9061146075024413],0.1,elasticnet,1.0,False,,,1,1,0,0
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,3,0.155071240469333,0.5567,0.0308,0.124271240469333,0.5258999999999999,LogisticRegression,lr_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,984.0,0.0390625,177.7222305953556,9.299990097581421,0.10752699621261559,[-2.0578528922232837],0.1,elasticnet,0.9,False,,,1,1,0,0
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,1,0.39428674040162853,0.6004,0.0906,0.3036867404016285,0.5098,LogisticRegression,lr_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,150.121075692611,6.011312360332493,0.16635302577167838,[-4.781398715985966],0.1,elasticnet,0.0,False,,,1,1,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,2,0.3477730961102498,0.4916,0.0954,0.25237309611024983,0.3962,LogisticRegression,lr_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,91.02157191334938,3.7380962575669763,0.2675158506086391,[-4.410344026704844],0.05,elasticnet,0.0,False,,,1,1,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,3,0.49484439107655576,0.6774,0.0284,0.4664443910765558,0.649,LogisticRegression,lr_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,774.0,0.244140625,168.71155607541823,7.838769774209404,0.12757103841601944,[-4.928893463339884],0.25,elasticnet,0.25,False,,,1,1,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,1,0.07788048319148813,0.5125,0.0772,0.0006804831914881265,0.43529999999999996,SVC,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,21.634170999588733,0.9190697533179567,1.0880566968827718,[-1.2705461682890975],0.01,,,,"[922, 599]",1521.0,1,2,0,0
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,2,0.11107418743819658,0.6437,0.0675,0.04357418743819658,0.5762,SVC,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,181.34891384191528,7.156716368603021,0.13972888521711785,[-2.209383327767277],0.5,,,,"[1005, 455]",1460.0,1,2,0,0
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,3,0.12174482777941842,0.5271,0.0311,0.09064482777941842,0.496,SVC,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,80.82110601743938,3.2714635414823605,0.30567358838634084,[-1.4031732280505778],0.005,,,,"[7318, 423]",7741.0,1,2,0,0
